x1,y1,r1,x2,y2,r2,x3,y3,r3,x4,y4,r4,x5,y5,r5,x6,y6,r6,x7,y7,r7,class
258.681,132.0,30.0,262.0,99.5,35.0,269.0,61.5,41.0,285.358,30.021,52.0,326.5,12.978,74.0,576.0,426.0,82.0,561.0,470.0,72.0,5
274.0,234.0,19.0,269.0,242.0,22.0,269.549,218.551,28.0,275.396,212.51,30.0,284.0,223.5,39.0,305.0,261.5,65.0,347.5,368.5,121.0,4
263.5,239.0,24.0,260.867,215.5,30.0,256.0,190.0,32.0,248.817,173.665,37.0,239.0,171.5,49.0,219.537,239.522,109.0,221.5,364.5,125.0,5
259.5,225.824,23.0,255.5,197.5,28.0,246.375,171.5,32.0,234.862,153.266,35.0,220.016,147.945,43.0,192.291,168.87,67.0,106.0,287.0,139.0,5
266.5,199.5,28.0,262.435,165.822,31.0,259.0,133.0,33.0,252.5,107.5,36.0,245.0,94.5,44.0,227.681,110.0,63.0,197.021,259.187,170.0,5
268.0,226.0,21.0,262.0,207.0,29.0,260.5,179.296,31.0,256.092,162.5,33.0,255.0,156.0,39.0,261.52,179.505,61.0,252.0,326.455,167.0,4
274.369,179.767,29.0,278.0,151.0,31.0,280.0,126.0,34.0,286.655,114.655,40.0,298.5,131.0,58.0,357.5,231.0,142.0,393.5,372.5,117.0,4
258.0,167.5,29.0,251.387,139.21,30.0,241.21,118.713,32.0,231.0,106.0,38.0,213.63,114.294,48.0,193.5,201.0,99.0,161.0,323.0,78.0,3
271.5,177.5,29.0,280.5,137.5,34.0,293.5,97.0,40.0,324.5,56.0,48.0,367.5,20.0,50.0,563.0,413.5,100.0,520.0,470.0,55.0,2
267.0,189.5,29.0,268.336,157.617,31.0,272.0,129.0,36.0,283.0,107.5,40.0,301.636,101.969,52.0,335.998,155.995,104.0,467.716,282.164,197.0,5
247.5,225.5,20.0,244.0,209.5,26.0,235.5,175.5,30.0,220.0,145.5,33.0,199.0,118.5,37.0,163.918,99.142,43.0,100.5,101.5,56.0,1
257.0,169.816,28.0,262.747,137.253,31.0,271.0,108.0,35.0,290.5,88.0,41.0,321.526,85.367,55.0,395.0,161.5,120.0,524.5,313.0,134.0,2
